phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
3	710	1808	84	129132812	8813	88	88		88	652.0	14290	22363	22559	22447	24282	24090	27616	24558	24654	28177	23966	24618	9317080	14580676	14708468	14635444	15831864	15706680	18005632	16011816	16074408	18371404	15625832	16050936	187	168	133	215	312	322	214	447	320	207	311	306
3	720	1819	85	138043460	891065	89	89		89	652.0	10304	17346	11182	20185	14805	14629	22577	14949	15032	16498	14458	15113	6718208	11309592	7290664	13160620	9652860	9538108	14720204	9746748	9800864	10756696	9426616	9853676	230	292	309	323	398	390	150	406	389	154	388	399
3	730	1819	85	138043460	0	89	89		89	652.0	14180	19727	15258	28618	20836	20719	28762	21014	21081	24335	20667	21086	9245360	12862004	9948216	18658936	13585072	13508788	18752824	13701128	13744812	15866420	13474884	13748072	439	167	289	535	694	697	361	695	684	368	694	681
3	740	1819	85	138043460	0	89	89		89	652.0	17067	22116	18269	28618	26246	26122	28762	26426	26505	29569	26055	26521	11127684	14419632	11911388	18658936	17112392	17031544	18752824	17229752	17281260	19278988	16987860	17291692	236	167	240	91	380	381	8	379	381	276	394	382
3	750	1819	85	138043460	0	89	89		89	652.0	20315	24507	21864	28618	29626	29982	28762	29968	30121	29569	29632	29932	13245380	15978564	14255328	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	427	336	473	0	603	665	0	601	646	84	644	625
3	760	1819	85	138043460	0	89	89		89	652.0	23891	27246	24616	28618	29626	29982	28762	29968	30121	29569	29632	29932	15576932	17764392	16049632	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	252	187	209	0	0	0	0	0	0	0	0	0
3	770	1819	85	138043460	0	89	89		89	652.0	27267	28436	27429	28618	29626	29982	28762	29968	30121	29569	29632	29932	17778084	18540272	17883708	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	478	254	389	0	0	0	0	0	0	0	0	0
3	780	1819	85	138043460	0	89	89		89	652.0	27944	28436	28302	28618	29626	29982	28762	29968	30121	29569	29632	29932	18219488	18540272	18452904	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	82	0	115	0	0	0	0	0	0	0	0	0
3	790	1819	85	138043460	0	89	89		89	652.0	27944	28436	28302	28618	29626	29982	28762	29968	30121	29569	29632	29932	18219488	18540272	18452904	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	0	0	0	0	0	0	0	0	0	0	0	0
3	800	1819	85	138043460	0	89	89		89	652.0	27944	28436	28302	28618	29626	29982	28762	29968	30121	29569	29632	29932	18219488	18540272	18452904	18658936	19316152	19548264	18752824	19539136	19638892	19278988	19320064	19515664	0	0	0	0	0	0	0	0	0	0	0	0
3	810	1907	86	138131588	8813	90	90		90	652.0	27926	28424	28283	28617	29634	29981	28722	29984	30119	29559	29649	29922	18207752	18532448	18440516	18658284	19321368	19547612	18726744	19549568	19637588	19272468	19331148	19509144	0	0	0	0	0	0	0	0	0	0	0	0
3	820	1907	86	138131588	0	90	90		90	652.0	27926	28424	28283	28617	29634	29981	28722	29984	30119	29559	29649	29922	18207752	18532448	18440516	18658284	19321368	19547612	18726744	19549568	19637588	19272468	19331148	19509144	12	12	12	8	14	14	1	15	14	6	15	13
3	830	1931	87	147042236	891062	91	91		91	652.0	27926	28424	28283	28617	29634	29981	28722	29984	30119	29559	29649	29922	18207752	18532448	18440516	18658284	19321368	19547612	18726744	19549568	19637588	19272468	19331148	19509144	0	0	0	0	0	0	0	0	0	0	0	0
3	840	1931	87	147042236	0	91	91		91	652.0	18390	18116	18525	26978	20753	21192	22714	21234	21387	28695	20943	21204	11990280	11811632	12078300	17589656	13530956	13817184	14809528	13844568	13944324	18709140	13654836	13825008	248	320	250	97	123	119	420	147	501	415	504	113
3	850	1931	87	147042236	0	91	91		91	652.0	21773	20669	22090	28306	26670	27063	29497	27047	27181	29201	26688	27039	14195996	13476188	14402680	18455512	17388840	17645076	19232044	17634644	17722012	19039052	17400576	17629428	238	183	249	390	813	817	329	816	418	33	418	815
3	860	1931	87	147042236	0	91	91		91	652.0	24976	23284	25381	28306	29729	29904	29497	29339	30045	29201	30063	29912	16284352	15181168	16548412	18455512	19383308	19497408	19232044	19129028	19589340	19039052	19601076	19502624	237	180	253	0	381	376	48	348	377	0	376	377
3	870	1966	88	156041660	899943	92	92		92	652.0	19008	11563	19343	23354	19731	19882	18617	19291	19913	24460	20074	19958	12393216	7539076	12611636	15226808	12864612	12963064	12138284	12577732	12983276	15947920	13088248	13012616	304	298	324	78	193	176	68	151	177	56	240	186
3	880	1966	88	156041660	0	92	92		92	652.0	21503	15208	22410	28206	25534	25674	27141	25008	25682	29107	25785	25715	14019956	9915616	14611320	18390312	16648168	16739448	17695932	16305216	16744664	18977764	16811820	16766180	179	252	207	266	433	433	335	411	433	269	432	432
3	890	1992	90	165129212	908755	94	94		94	652.0	9172	10046	16284	15565	14265	14357	20540	13897	14458	22077	14745	14658	5980144	6549992	10617168	10148380	9300780	9360764	13392080	9060844	9426616	14394204	9613740	9557016	259	401	319	77	488	480	416	363	495	79	501	502
3	900	1992	90	165129212	0	94	94		94	652.0	13268	14118	18659	23879	20842	20885	29014	20333	20748	29100	21205	21199	8650736	9204936	12165668	15569108	13588984	13617020	18917128	13257116	13527696	18973200	13825660	13821748	286	248	140	335	487	485	317	617	462	319	485	487
3	910	1992	90	165129212	0	94	94		94	652.0	16520	17184	21059	29128	26229	26274	29423	25777	25895	29100	26600	26591	10771040	11203968	13730468	18991456	17101308	17130648	19183796	16806604	16883540	18973200	17343200	17337332	254	475	336	290	394	394	210	401	381	105	390	396
3	920	1992	90	165129212	0	94	94		94	652.0	19832	20634	23890	29128	29616	29638	29423	29732	29127	29100	29727	29886	12930464	13453368	15576280	18991456	19309632	19323976	19183796	19385264	18990804	18973200	19382004	19485672	483	237	199	122	678	684	0	717	671	0	673	690
