phase	t	slot	bpsUp	cpu	diskGB	confBps	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
2	525	512	3	12	123	0	505.3559322033898	0.9419365474166667	0.3963530416956521	23	43439	41319	29570	107904	59545	55537	76566	61747	53183	62394	41234	59359	383.77966101694915	400.9755551724138	310.0169491525424	91.49241609195403	518.271186440678	521.9824603448277	152.11864406779662	528.448275862069	519.3559322033898	518.4745762711865	412.8813559322034	519.2542372881356
2	535	512	3	13	123	0	439.91525423728814	0.9419365474166667	0.3963530416956521	23	47445	45317	32400	107904	64887	60849	81677	67087	58041	67240	44903	64211	343.9830508474576	356.47457627118644	261.9310344827586	34.271186440677965	461.3898305084746	461.5593220338983	126.52542372881356	462.6101694915254	462.50847457627117	461.5593220338983	359.8474576271186	462.1694915254237
2	545	607	3	27	123	53668.8813559322	370.91525423728814	0.8521638359999999	0.3938469423333333	24	43863	41693	28516	107904	62247	58157	85513	64435	55431	71012	41366	67985	379.03389830508473	388.20338983050846	287.3050847457627	5.389830508474576	504.23728813559325	504.08474576271186	137.05084745762713	504.5423728813559	461.89830508474574	501.52542372881356	392.7118644067797	502.77966101694915
2	555	618	3	35	123	107832.6576551724	349.45052672413794	0.8026313374166666	0.39303665447999997	25	38238	36278	22189	107904	65615	53668	82777	68219	50946	68234	36012	65137	329.9172850574713	333	254.42558620689655	0	433.72853620689654	432.06779661016947	117.77966101694915	433.0508474576271	490.03389830508473	435.7931034482759	344.5689655172414	429.89830508474574
2	565	618	3	14	123	107337.7627118644	388.15562040229884	0.8026313374166666	0.39303665447999997	25	42180	39894	25225	104311	62524	58450	79482	64700	55716	64665	39615	61542	367.22033898305085	367.728813559322	282.271186440678	2.9152542372881354	427.4237288135593	484.47457627118644	113.03389830508475	428.1694915254237	435.6551724137931	425.496275862069	333.3632	429.8965517241379
2	575	618	3	13	123	107337.7627118644	435.45762711864404	0.8026313374166666	0.39303665447999997	25	45844	43553	28027	107904	67340	63298	84618	69554	60562	69951	43663	66868	323.54237288135596	320.271186440678	249.52542372881356	50.813559322033896	427.1186440677966	426.8474576271186	108.67241379310344	486.20338983050846	489.1198977011494	422.9830508474576	324.8474576271186	422.4406779661017
2	585	646	3	17	123	161006.64406779662	400.0635387931035	0.8041747921666667	0.3899036072307692	26	37963	35111	19668	107904	59885	55741	76509	61997	53057	62000	34895	58761	317.6949152542373	312.10169491525426	244.54237288135593	50.813559322033896	412.33898305084745	413	103.49153793103447	409.8305084745763	412.0855494252873	408.13239942528736	317.68610948275864	407.69218448275865
2	596	646	3	30	122	161006.64406779662	406.2033898305085	0.8041747921666667	0.38812029566666667	26	42311	38728	23320	107904	64723	60593	81709	66848	57901	67311	38582	63597	370.49152542372883	307.87931034482756	289.77966101694915	51.689655172413794	463.3220338983051	462.50847457627117	101.40090000000001	462.1694915254237	464.92821264367814	458.47457627118644	307.88346321839083	456.4162448275862
3	606	665	3	16	122	161006.64406779662	401.2881355932203	0.8334080201666666	0.38812029566666667	27	37602	34224	18581	105293	60684	56502	78330	62770	54300	63387	34102	60002	327.79661016949154	301.8474576271186	262.6779661016949	50.813559322033896	403.1186440677966	409.01724137931035	100.89830508474576	401.864406779661	403.0508474576271	400.06779661016947	306.20338983050846	397.3898305084746
3	616	665	3	15	122	107337.7627118644	510.39493305084744	0.8334080201666666	0.38812029566666667	27	41242	37492	22227	107904	65514	61336	82996	67606	58654	71221	37405	64354	377.96610169491527	352.5708362068965	319.5593220338983	62.528113793103444	472.8813559322034	474.5031402298851	124.98293908045976	412.8474576271186	415.3436103448276	411.43282758620694	355.5060517241379	407.99893333333335
